# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Sep  1 22:14:37 2021
#
# User preference: *
#
# COLUMN epic_name:      EPIC Name
# COLUMN epic_candname:  Candidate Name
# COLUMN pl_name:        Planet Name
# COLUMN k2c_refdisp:    Reference Disposition
# COLUMN k2c_reflink:    Reference Link
# COLUMN k2c_disp:       Exoplanet Archive Disposition
# COLUMN k2c_note:       Notes
# COLUMN k2_campaign:    K2 Campaign
# COLUMN k2c_recentflag: Most Recent Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_trandep:     Transit Depth [percent]
# COLUMN pl_trandur:     Transit Duration [days]
# COLUMN pl_imppar:      Impact Parameter
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratror:      Ratio of Candidate to Stellar Radius
# COLUMN pl_rade:        Candidate Radius [Earth radii]
# COLUMN pl_radj:        Candidate Radius [Jupiter radii]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_fppprob:     False Positive Probability
# COLUMN st_plx:         Parallax [mas]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_metfe:       Stellar Metallicity [dex]
# COLUMN st_metratio:    Metallicity Ratio
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_vsini:       Rot. Velocity V*sin(i) [km/s]
# COLUMN st_kep:         Kepler-band [mag]
# COLUMN st_bj:          B-band (Johnson) [mag]
# COLUMN st_vj:          V-band (Johnson) [mag]
# COLUMN st_us:          u-band (Sloan) [mag]
# COLUMN st_gs:          g-band (Sloan) [mag]
# COLUMN st_rs:          r-band (Sloan) [mag]
# COLUMN st_is:          i-band (Sloan) [mag]
# COLUMN st_zs:          z-band (Sloan) [mag]
# COLUMN st_j2:          J-band (2MASS) [mag]
# COLUMN st_h2:          H-band (2MASS) [mag]
# COLUMN st_k2:          Ks-band (2MASS) [mag]
# COLUMN st_bmvj:        B-V (Johnson) [mag]
# COLUMN st_jmh2:        J-H (2MASS) [mag]
# COLUMN st_hmk2:        H-Ks (2MASS) [mag]
# COLUMN st_jmk2:        J-Ks (2MASS) [mag]
#
epic_name,epic_candname,pl_name,k2c_refdisp,k2c_reflink,k2c_disp,k2c_note,k2_campaign,k2c_recentflag,pl_orbper,pl_tranmid,pl_trandep,pl_trandur,pl_imppar,pl_orbincl,pl_ratdor,pl_ratror,pl_rade,pl_radj,pl_eqt,pl_fppprob,st_plx,st_dist,st_teff,st_logg,st_metfe,st_metratio,st_rad,st_vsini,st_kep,st_bj,st_vj,st_us,st_gs,st_rs,st_is,st_zs,st_j2,st_h2,st_k2,st_bmvj,st_jmh2,st_hmk2,st_jmk2
EPIC 204882444,EPIC 204882444.01,,FALSE POSITIVE,<a refstr=RIZZUTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..224R/abstract target=ref>Rizzuto et al. 2017</a>,FALSE POSITIVE,,2,1,1.14880000,2456893.455570,0.980000,,,,,,,,,,,,,,,,,,13.966,16.864,15.075,,16.016,14.387,13.088,,10.787,10.016,9.744,1.789,0.771,0.272,1.043
EPIC 204884005,EPIC 204884005.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,0,46.40651000,2456924.032000,0.176000,0.1895833,0.3700,,,0.03779,3.350,0.299,,,,,4812.00,,,,0.73,,11.514,,,,,,,,10.020,9.524,9.417,,0.496,0.107,0.603
EPIC 204884005,EPIC 204884005.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,2,1,46.38363000,2456924.042640,0.177100,0.2182000,,,66.700000,0.03871,3.220,0.287,,,,,,,,,0.76,,11.514,,,,,,,,10.020,9.524,9.417,,0.496,0.107,0.603
EPIC 204888276,EPIC 204888276.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,2,1,16.56127000,2456900.535600,0.109000,0.1820000,,,18.800000,0.03400,0.957,0.085,,,,,,,,,0.26,,12.542,14.904,13.377,,14.216,12.761,11.824,,10.114,9.488,9.251,1.527,0.626,0.237,0.863
EPIC 204888276,EPIC 204888276.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,0,16.56315500,2456900.532000,0.101000,0.1837500,0.2100,,,0.02876,1.660,0.148,,,,,3669.00,,,,0.48,,12.542,14.904,13.377,,14.216,12.761,11.824,,10.114,9.488,9.251,1.527,0.626,0.237,0.863
EPIC 204890128,EPIC 204890128.01,K2-53 b,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,2,1,12.20773000,2456896.385000,0.100100,0.1511000,,,23.700000,0.03010,2.340,0.209,,,,,,,,,0.71,,11.888,,,,,,,,10.306,9.826,9.664,,0.480,0.162,0.642
EPIC 204890128,EPIC 204890128.01,K2-53 b,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,CONFIRMED,,2,0,12.20911650,2456896.382329,0.092000,0.1586250,,,,,,,,,,,,,,,,,11.888,,,,,,,,10.306,9.826,9.664,,0.480,0.162,0.642
EPIC 204890128,EPIC 204890128.01,K2-53 b,CONFIRMED,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CONFIRMED,,2,0,12.20540000,2456896.391100,,0.1517000,,,,0.02670,2.500,0.223,,1.800000e-12,,,5269.00,4.49,,,0.85,,11.888,,,,,,,,10.306,9.826,9.664,,0.480,0.162,0.642
EPIC 204890128,EPIC 204890128.01,K2-53 b,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,2,0,12.20763200,2456896.385000,0.100000,0.1516667,0.3400,,,0.02830,2.470,0.220,,,,,4684.00,,,,0.72,,11.888,,,,,,,,10.306,9.826,9.664,,0.480,0.162,0.642
EPIC 204914585,EPIC 204914585.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,2,1,18.36470000,2456895.167100,0.042100,0.2440000,,,21.300000,0.01960,2.610,0.233,,,,,,,,,1.22,,12.492,13.629,12.768,,13.139,12.495,12.215,,11.018,10.657,10.546,0.861,0.361,0.111,0.472
EPIC 204914585,EPIC 204914585.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,0,18.35777300,2456895.192000,0.045200,0.2137500,0.3800,,,0.01924,1.740,0.155,,,,,4937.00,,,,0.75,,12.492,13.629,12.768,,13.139,12.495,12.215,,11.018,10.657,10.546,0.861,0.361,0.111,0.472
EPIC 204990932,EPIC 204990932.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,2,1,21.91840000,2456900.276900,0.133000,0.1210000,,,38.000000,0.04040,3.180,0.284,,,,,,,,,0.72,,14.109,,,,,,,,11.867,11.232,11.012,,0.635,0.220,0.855
EPIC 204991696,EPIC 204991696.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,2,1,49.85580000,2456901.923000,0.053900,0.2930000,,,49.600000,0.02222,3.290,0.294,,,,,,,,,1.36,,10.526,11.389,10.711,,11.113,10.473,10.275,,9.244,8.986,8.849,0.678,0.258,0.137,0.395
EPIC 205029914,EPIC 205029914.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,0,4.98189210,2456894.731000,0.055500,0.1600000,0.2700,,,0.02159,2.660,0.237,,,,,5849.00,,,,1.04,,12.183,12.900,12.293,,,,,,,,,0.607,,,
EPIC 205029914,EPIC 205029914.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,2,1,4.98150000,2456894.734100,0.059020,0.1595000,,,8.600000,0.02384,2.390,0.213,,,,,,,,,0.92,,12.183,12.900,12.293,,,,,,,,,0.607,,,
EPIC 205029914,EPIC 205029914.01,,CANDIDATE,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,CANDIDATE,,2,0,4.98183800,2456894.731370,,,,86.418,8.556132,0.02243,2.393,0.210,,,,,5774.00,4.37,-0.080,[Fe/H],0.98,,12.183,12.900,12.293,,,,,,,,,0.607,,,
EPIC 205029914,EPIC 205029914.01,,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,CANDIDATE,,2,0,4.98049071,2456899.718676,0.041000,0.1702917,,,,,,,,,,,,,,,,,12.183,12.900,12.293,,,,,,,,,0.607,,,
EPIC 205029914,EPIC 205029914.01,,CANDIDATE,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CANDIDATE,,2,0,4.98205000,2456894.731400,,0.1635800,,,,0.02060,2.300,0.205,,1.400000e-10,,,5594.00,4.38,,,1.01,,12.183,12.900,12.293,,,,,,,,,0.607,,,
EPIC 205040048,EPIC 205040048.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,0,3.30551910,2456894.546000,0.111000,0.0475000,0.7900,,,0.03401,1.270,0.113,,,,,3430.00,,,,0.35,,14.989,17.393,16.070,,16.822,15.551,14.203,,12.226,11.673,11.453,1.323,0.553,0.220,0.773
EPIC 205040048,EPIC 205040048.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,2,1,3.30524000,2456894.546600,0.121000,0.0450000,,,20.300000,0.03410,6.600,0.590,,,,,,,,,1.79,,14.989,17.393,16.070,,16.822,15.551,14.203,,12.226,11.673,11.453,1.323,0.553,0.220,0.773
EPIC 205046529,EPIC 205046529.01,,FALSE POSITIVE,<a refstr=RIZZUTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..224R/abstract target=ref>Rizzuto et al. 2017</a>,FALSE POSITIVE,,2,1,1.83610000,2456892.632540,0.550000,,,,,,,,,,,,,,,,,,13.725,,,,,,,,11.314,10.652,10.402,,0.662,0.250,0.912
EPIC 205047565,EPIC 205047565.01,,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,CANDIDATE,,2,1,14.54444130,2456906.636582,0.268000,0.1159583,,,,,,,,,,,,,,,,,14.654,,,,,,,,12.019,11.170,10.916,,0.849,0.254,1.103
EPIC 205050711,EPIC 205050711.01,,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,CANDIDATE,,2,1,4.30221683,2456899.260955,2.613000,0.3140000,,,,,,,,,,,,,,,,,10.588,11.329,10.818,,11.090,10.603,10.373,,9.546,9.325,9.233,0.511,0.221,0.092,0.313
EPIC 205064326,EPIC 205064326.01,,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,CANDIDATE,,2,0,8.02678456,2456896.656177,0.472000,0.1751250,,,,,,,,,,,,,,,,,12.839,14.702,13.379,,14.058,12.877,12.317,,10.629,9.975,9.794,1.323,0.654,0.181,0.835
EPIC 205064326,EPIC 205064326.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,0,8.02413060,2456896.667000,0.488000,0.1795833,0.9300,,,0.08498,4.420,0.394,,,,,3939.00,,,,0.58,,12.839,14.702,13.379,,14.058,12.877,12.317,,10.629,9.975,9.794,1.323,0.654,0.181,0.835
EPIC 205064326,EPIC 205064326.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,2,1,8.02335000,2456896.671070,0.503000,0.1870000,,,7.280000,0.15300,86.000,7.700,,,,,,,,,5.13,,12.839,14.702,13.379,,14.058,12.877,12.317,,10.629,9.975,9.794,1.323,0.654,0.181,0.835
EPIC 205064326,EPIC 205064326.01,,FALSE POSITIVE,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,FALSE POSITIVE,,2,0,8.02415000,2456896.666300,,0.1575000,,,,0.30000,194.000,17.300,,1.000000e+00,,,4734.00,2.95,,,6.10,,12.839,14.702,13.379,,14.058,12.877,12.317,,10.629,9.975,9.794,1.323,0.654,0.181,0.835
EPIC 205071984,EPIC 205071984.01,K2-32 b,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,2,1,8.99201800,2456900.926500,0.380200,0.1453000,,,17.600000,0.05960,4.920,0.439,,,,,,,,,0.76,,12.005,13.278,12.307,,12.788,12.030,11.669,,10.404,9.993,9.821,0.971,0.411,0.172,0.583
EPIC 205071984,EPIC 205071984.02,K2-32 d,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,2,1,31.72360000,2456903.779500,0.156200,0.2110000,,,46.000000,0.03800,3.140,0.280,,,,,,,,,0.76,,12.005,13.278,12.307,,12.788,12.030,11.669,,10.404,9.993,9.821,0.971,0.411,0.172,0.583
EPIC 205071984,EPIC 205071984.03,K2-32 c,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,2,1,20.66178000,2456899.421700,0.134600,0.1876000,,,33.800000,0.03310,2.730,0.244,,,,,,,,,0.76,,12.005,13.278,12.307,,12.788,12.030,11.669,,10.404,9.993,9.821,0.971,0.411,0.172,0.583
EPIC 205071984,EPIC 205071984.04,K2-32 e,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,2,1,4.34910000,2456894.526100,0.025500,0.1480000,,,2.850000,0.02700,2.200,0.200,,,,,,,,,0.76,,12.005,13.278,12.307,,12.788,12.030,11.669,,10.404,9.993,9.821,0.971,0.411,0.172,0.583
EPIC 205071984,EPIC 205071984.01,K2-32 b,CONFIRMED,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,CONFIRMED,,2,0,8.99194200,2456900.926710,,,,89.115,20.245164,0.05649,5.171,0.460,,1.000000e-04,,,5415.00,4.73,0.030,[Fe/H],0.84,,12.005,13.278,12.307,,12.788,12.030,11.669,,10.404,9.993,9.821,0.971,0.411,0.172,0.583
EPIC 205071984,EPIC 205071984.03,K2-32 c,CONFIRMED,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,CONFIRMED,,2,0,20.66162300,2456899.422120,,,,89.275,33.515242,0.03403,3.115,0.280,,1.000000e-04,,,5415.00,4.73,0.030,[Fe/H],0.84,,12.005,13.278,12.307,,12.788,12.030,11.669,,10.404,9.993,9.821,0.971,0.411,0.172,0.583
EPIC 205071984,EPIC 205071984.02,K2-32 d,CONFIRMED,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,CONFIRMED,,2,0,31.71506100,2456903.792940,,,,89.345,44.666089,0.03730,3.414,0.300,,1.000000e-04,,,5415.00,4.73,0.030,[Fe/H],0.84,,12.005,13.278,12.307,,12.788,12.030,11.669,,10.404,9.993,9.821,0.971,0.411,0.172,0.583
EPIC 205071984,EPIC 205071984.03,K2-32 c,CONFIRMED,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CONFIRMED,,2,0,20.66020000,2456961.406700,,0.1879000,,,,0.03260,3.320,0.296,,5.000000e-04,,,5428.00,4.45,,,0.92,,12.005,13.278,12.307,,12.788,12.030,11.669,,10.404,9.993,9.821,0.971,0.411,0.172,0.583
EPIC 205071984,EPIC 205071984.02,K2-32 d,CONFIRMED,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CONFIRMED,,2,0,31.71540000,2456903.790100,,0.2108000,,,,0.03710,3.770,0.336,,5.400000e-06,,,5428.00,4.45,,,0.92,,12.005,13.278,12.307,,12.788,12.030,11.669,,10.404,9.993,9.821,0.971,0.411,0.172,0.583
EPIC 205071984,EPIC 205071984.01,K2-32 b,CONFIRMED,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CONFIRMED,,2,0,8.99213000,2456909.918320,,0.1452500,,,,0.05560,5.620,0.501,,0.000000e+00,,,5428.00,4.45,,,0.92,,12.005,13.278,12.307,,12.788,12.030,11.669,,10.404,9.993,9.821,0.971,0.411,0.172,0.583
EPIC 205071984,EPIC 205071984.01,K2-32 b,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,CONFIRMED,,2,0,8.99002105,2456900.937074,0.344000,0.1148750,,,,,,,,,,,,,,,,,12.005,13.278,12.307,,12.788,12.030,11.669,,10.404,9.993,9.821,0.971,0.411,0.172,0.583
EPIC 205071984,EPIC 205071984.01,K2-32 b,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,2,0,8.99191560,2456900.927000,0.375000,0.1487500,0.5100,,,0.05639,4.790,0.427,,,,,4686.00,,,,0.72,,12.005,13.278,12.307,,12.788,12.030,11.669,,10.404,9.993,9.821,0.971,0.411,0.172,0.583
EPIC 205071984,EPIC 205071984.02,K2-32 d,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,2,0,31.71586800,2456903.792000,0.160000,0.2220833,0.8300,,,0.04201,3.130,0.279,,,,,4686.00,,,,0.72,,12.005,13.278,12.307,,12.788,12.030,11.669,,10.404,9.993,9.821,0.971,0.411,0.172,0.583
EPIC 205071984,EPIC 205071984.03,K2-32 c,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,2,0,20.66098700,2456899.423000,0.135000,0.1979167,0.7900,,,0.03769,2.880,0.257,,,,,4686.00,,,,0.72,,12.005,13.278,12.307,,12.788,12.030,11.669,,10.404,9.993,9.821,0.971,0.411,0.172,0.583
EPIC 205084841,EPIC 205084841.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,2,1,11.31028000,2456905.170190,1.773000,0.1850000,,,21.360000,0.12030,18.900,1.690,,,,,,,,,1.44,,15.605,,,,,,,,13.443,12.797,12.612,,0.646,0.185,0.831
EPIC 205084841,EPIC 205084841.01,,CANDIDATE,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CANDIDATE,,2,0,11.31009000,2456893.859200,,0.1781700,,,,0.11900,130.000,11.600,,2.700000e-02,,,4793.00,2.37,,,10.00,,15.605,,,,,,,,13.443,12.797,12.612,,0.646,0.185,0.831
EPIC 205111664,EPIC 205111664.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,2,1,15.93709000,2456906.432700,0.059000,0.1370000,,,33.300000,0.02350,1.870,0.167,,,,,,,,,0.73,,12.129,13.405,12.491,,12.879,12.165,11.807,,10.488,9.979,9.875,0.914,0.509,0.104,0.613
EPIC 205111664,EPIC 205111664.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,0,15.93737800,2456906.431000,0.057600,0.1354167,0.2700,,,0.02135,1.840,0.164,,,,,4574.00,,,,0.70,,12.129,13.405,12.491,,12.879,12.165,11.807,,10.488,9.979,9.875,0.914,0.509,0.104,0.613
EPIC 205117205,EPIC 205117205.01,K2-33 b,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,2,0,5.42520610,2456898.690000,0.263000,0.1779167,0.4600,,,0.04747,0.868,0.077,,,,,2890.00,,,,0.16,,14.357,17.353,15.714,,16.466,14.864,13.454,,11.095,10.332,10.026,1.639,0.763,0.306,1.069
EPIC 205117205,EPIC 205117205.01,K2-33 b,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,2,1,5.42526000,2456898.690300,0.301800,0.1890000,,,7.100000,0.05500,3.170,0.283,,,,,,,,,0.53,,14.357,17.353,15.714,,16.466,14.864,13.454,,11.095,10.332,10.026,1.639,0.763,0.306,1.069
EPIC 205117205,EPIC 205117205.01,K2-33 b,CONFIRMED,<a refstr=RIZZUTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..224R/abstract target=ref>Rizzuto et al. 2017</a>,CONFIRMED,,2,0,5.42240000,2456898.670500,0.180000,,,,,,,,,,,,,,,,,,14.357,17.353,15.714,,16.466,14.864,13.454,,11.095,10.332,10.026,1.639,0.763,0.306,1.069
EPIC 205145448,EPIC 205145448.01,,CANDIDATE,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CANDIDATE,,2,0,16.63311000,2456902.266600,,0.0975000,,,,0.18610,44.000,3.900,,2.800000e-04,,,5700.00,3.84,,,2.19,,13.651,15.691,14.289,,15.142,13.692,13.011,,10.977,10.351,10.120,1.402,0.626,0.231,0.857
EPIC 205145448,EPIC 205145448.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,2,0,16.63237000,2456902.268000,4.330000,0.0983333,0.0000,,,0.18870,10.700,0.955,,,,,3648.00,,,,0.47,,13.651,15.691,14.289,,15.142,13.692,13.011,,10.977,10.351,10.120,1.402,0.626,0.231,0.857
EPIC 205145448,EPIC 205145448.01,,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,CANDIDATE,,2,1,16.63091654,2456902.267489,4.087000,0.0939583,,,,,,,,,,,,,,,,,13.651,15.691,14.289,,15.142,13.692,13.011,,10.977,10.351,10.120,1.402,0.626,0.231,0.857
EPIC 205146011,EPIC 205146011.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,2,1,1.05717100,2456894.738800,0.020400,0.0613000,,,4.880000,0.01370,1.510,0.135,,,,,,,,,1.00,,13.215,14.704,13.618,,14.164,13.229,12.808,,11.421,10.919,10.704,1.086,0.502,0.215,0.717
EPIC 205148699,EPIC 205148699.01,,FALSE POSITIVE,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,FALSE POSITIVE,,2,0,4.37732600,2456896.512160,,0.1895000,,,,0.17542,27.000,2.400,,0.000000e+00,,,5928.00,4.08,,,1.43,,12.389,13.321,12.621,,12.944,12.428,12.151,,11.027,10.649,10.554,0.700,0.378,0.095,0.473
EPIC 205148699,EPIC 205148699.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,2,1,4.37733900,2456896.512320,3.339700,0.1912000,,,8.088000,0.17270,31.900,2.850,,,,,,,,,1.69,,12.389,13.321,12.621,,12.944,12.428,12.151,,11.027,10.649,10.554,0.700,0.378,0.095,0.473
EPIC 205148699,EPIC 205148699.01,,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,CANDIDATE,,2,0,4.37983009,2456896.498220,3.430000,0.1960000,,,,,,,,,,,,,,,,,12.389,13.321,12.621,,12.944,12.428,12.151,,11.027,10.649,10.554,0.700,0.378,0.095,0.473
